date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,FS%,SL%,CU%,CH%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFS,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FO%,wFO/C,vFO
2024/07/30,7:11 PM.,BOS,SEA,away,Clear.,84,572020,SS,2,1,1,0,0,0,0,0,0,1,0,.308,.308,.462,.770,572020,jamespaxton,Paxton,Left,James Paxton,- - -,4.4,4.74,100.1,98.0,74.0,91.0,0.812,6.55,4.49,8.52,1.08,0.88,0.272,0.329,0.144,0.355,0.424,72.0,95.0,95.0,,,,69.0,98.0,86.0,64.0,107.0,97.0,,,,0.05,0.551,,,,0.066,-0.21,,-1.01,,,-2.12,93.2,,82.6,92.8,,,0.264,0.431,0.144,,,,0.308,0.423,0.091,0.25,0.375,0.326,0.2,0.3,0.362,,,,82.0,95.0,83.0,0.031,-3.38,84.0,,,,0.308,0.769,0.13,82.0,98.0,97.0,0.303,0.57,80.8,,,,,,,,,
2024/07/29,7:11 PM.,BOS,SEA,away,Partly Cloudy.,72,601713,2B,1,1,1,0,0,0,0,0,0,0,0,.273,.273,.455,.728,601713,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,4.14,3.51,145.2,104.0,133.0,108.0,0.775,10.63,2.22,7.91,1.73,0.69,0.238,0.42,0.142,0.378,0.449,,,,118.0,104.0,104.0,122.0,105.0,108.0,,,,155.0,103.0,111.0,,0.486,,0.291,0.163,,0.73,,,-0.1,0.61,,93.9,,,,82.6,80.0,0.239,0.399,0.218,0.224,0.436,0.35,,,,,,,0.167,0.4,0.206,,,,104.0,96.0,82.0,0.059,-4.63,88.3,0.143,0.393,0.326,0.394,0.879,0.211,,,,,,,,,,,,,,,
2024/07/28,1:10 PM.,CWS,SEA,away,Cloudy.,81,676979,SS,4,0,0,0,0,0,1,0,0,1,3,.200,.200,.400,.600,676979,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.58,2.85,146.0,103.0,102.0,103.0,0.694,12.88,2.03,7.58,1.11,1.25,0.259,0.394,0.175,0.33,0.458,66.0,101.0,102.0,,,,104.0,103.0,103.0,123.0,98.0,97.0,138.0,102.0,107.0,0.021,0.537,,0.098,,0.059,1.66,,4.04,-2.29,,-0.36,97.2,,91.0,97.9,84.3,,0.198,0.295,0.314,0.228,0.561,0.422,0.154,0.154,0.321,0.184,0.289,0.339,,,,,,,94.0,105.0,103.0,0.284,-0.14,91.6,,,,0.268,0.458,0.334,,,,,,,,,,,,,,,
2024/07/26,7:10 PM.,CWS,SEA,away,Clear.,76,689672,SS,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.667,1.000,689672,drewthorpe,Thorpe,Right,Drew Thorpe,CHW,5.48,4.71,44.1,99.0,81.0,93.0,0.772,5.08,4.26,7.11,1.62,0.76,0.232,0.408,0.225,0.239,0.38,89.0,106.0,103.0,,,,63.0,95.0,82.0,,,,99.0,99.0,102.0,,0.322,,0.184,,0.355,-1.43,,,-1.97,,1.65,91.0,,81.6,,81.2,,0.245,0.566,0.077,0.0,0.0,0.25,,,,0.164,0.311,0.379,,,,,,,83.0,94.0,88.0,0.139,-0.44,86.3,0.333,0.5,0.28,0.182,0.409,0.071,,,,,,,,,,,,,,,
2024/06/10,6:40 PM.,CWS,SEA,home,Partly Cloudy.,64,607200,DH,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.667,1.000,607200,erickfedde,Fedde,Right,Erick Fedde,- - -,3.3,3.91,177.1,104.0,90.0,99.0,0.807,7.82,2.64,7.82,1.02,1.07,0.264,0.367,0.181,0.309,0.399,86.0,108.0,106.0,,,,17.0,112.0,76.0,76.0,105.0,93.0,126.0,101.0,106.0,0.308,0.003,,0.202,,0.164,-6.18,,0.59,1.28,,-0.54,92.9,,87.7,93.0,83.5,,0.5,0.5,0.0,0.165,0.309,0.251,0.25,0.358,0.202,0.228,0.351,0.165,,,,,,,78.0,104.0,97.0,0.323,0.43,89.9,,,,0.262,0.47,0.232,,,,,,,,,,,,,,,
2024/05/17,7:05 PM.,BAL,SEA,away,Cloudy.,69,607644,2B,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.667,1.000,607644,johnmeans,Means,Left,John Means,BAL,2.61,4.68,20.2,101.0,87.0,102.0,0.76,6.97,0.87,6.97,0.87,0.32,0.23,0.541,0.164,0.377,0.419,89.0,113.0,112.0,,,,88.0,96.0,96.0,,,,83.0,101.0,100.0,,0.375,,0.231,,0.284,0.78,,,1.72,,0.89,90.5,,82.0,,84.5,,0.231,0.5,0.182,,,,,,,0.222,0.333,0.353,0.2,0.2,0.111,,,,,,,,,,0.167,0.278,0.333,,,,88.0,92.0,100.0,0.109,1.37,75.7,,,,,,,,,
2024/05/15,1:10 PM.,KC,SEA,home,Sunny.,61,679525,DH,0,1,0,0,0,0,0,0,0,0,0,.333,.333,.667,1.000,679525,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.53,4.97,129.0,99.0,100.0,99.0,0.789,8.58,2.72,8.58,1.33,0.92,0.249,0.42,0.182,0.329,0.429,88.0,95.0,94.0,103.0,105.0,103.0,93.0,98.0,95.0,98.0,99.0,97.0,117.0,99.0,107.0,0.138,0.37,,0.228,0.164,0.1,0.34,,-1.16,-0.57,-1.2,0.84,94.2,,86.3,93.6,86.5,82.8,0.208,0.383,0.223,0.2,0.433,0.464,0.317,0.524,0.099,0.204,0.296,0.177,0.263,0.5,0.274,,,,,,,,,,0.29,0.462,0.294,,,,,,,,,,,,,,,,,,
2024/05/09,12:11 PM.,MIN,SEA,away,Partly Cloudy.,63,641154,SS,4,0,1,0,0,0,0,0,0,2,3,.333,.333,.667,1.000,641154,pablolopez,"López, P",Right,Pablo López,MIN,4.08,3.67,185.1,104.0,98.0,105.0,0.749,9.62,1.99,8.74,1.26,1.19,0.245,0.438,0.134,0.298,0.432,95.0,104.0,105.0,92.0,103.0,108.0,97.0,105.0,101.0,97.0,107.0,107.0,106.0,103.0,110.0,0.073,0.407,,0.219,0.1,0.201,1.65,,-2.77,-0.84,-1.28,-0.14,95.0,,88.5,94.5,84.5,82.4,0.208,0.352,0.259,0.239,0.436,0.331,0.426,0.639,0.142,0.281,0.359,0.249,0.23,0.446,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/29,6:41 PM.,ATL,SEA,home,Roof Closed.,47,608331,SS,0,0,0,0,0,0,0,0,0,0,0,.500,.500,1.500,2.000,608331,maxfried,Fried,Left,Max Fried,ATL,3.25,3.72,174.1,98.0,94.0,99.0,0.776,8.57,2.94,7.54,0.67,2.53,0.255,0.435,0.151,0.261,0.413,91.0,101.0,103.0,116.0,103.0,108.0,78.0,93.0,93.0,90.0,98.0,94.0,102.0,97.0,98.0,0.158,0.327,,0.115,0.21,0.136,0.63,,1.47,0.5,1.39,1.7,93.9,,85.7,93.6,82.1,74.6,0.266,0.36,0.182,0.167,0.2,0.358,0.265,0.299,0.137,0.196,0.283,0.251,0.154,0.285,0.371,,,,93.0,96.0,94.0,0.054,-1.33,88.5,0.22,0.293,0.297,0.286,0.476,0.286,,,,,,,,,,,,,,,
2024/04/28,1:10 PM.,AZ,SEA,home,Roof Closed.,54,694297,SS,2,1,1,0,1,0,0,0,0,1,0,.500,.500,1.500,2.000,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,4.71,3.78,181.2,106.0,107.0,107.0,0.768,9.17,2.08,9.07,1.19,1.07,0.25,0.427,0.131,0.306,0.449,92.0,102.0,96.0,106.0,102.0,104.0,95.0,106.0,103.0,89.0,106.0,104.0,143.0,109.0,119.0,0.222,0.334,0.006,0.273,0.053,0.112,0.37,0.45,-0.09,-0.12,-1.37,0.84,93.8,89.6,87.5,93.7,84.8,80.8,0.265,0.466,0.224,0.215,0.455,0.362,0.286,0.365,0.119,0.25,0.289,0.312,0.429,0.571,0.295,0.2,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
