date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FC%,wFC/C,vFC,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FC,Loc+ FC,Pit+ FC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024/09/06,7:10 PM.,CIN,NYM,home,Clear.,74,518585,2B,2,1,1,0,0,0,1,0,0,0,0,.312,.361,.435,.796,518585,fernandocruz,"Cruz, F",Right,Fernando Cruz,CIN,4.86,4.05,66.2,95.0,116.0,100.0,0.633,14.72,4.73,7.29,1.22,0.98,0.196,0.462,0.182,0.357,0.379,,,,,,,90.0,99.0,92.0,,,,,,,,0.327,,,0.001,-0.02,,,,-4.83,94.6,83.8,,,,,,,,,,0.295,0.513,0.142,,,,,,,0.255,-2.06,88.6,,,,,,,,,,82.0,93.0,94.0,0.333,0.765,0.267,157.0,92.0,111.0,0.418,1.83,81.5,0.116,0.149,0.593
2024/09/04,7:13 PM.,BOS,NYM,home,Clear.,72,656557,3B,0,1,0,0,0,0,0,0,0,0,0,.310,.360,.435,.795,656557,tannerhouck,Houck,Right,Tanner Houck,BOS,3.12,4.11,178.2,100.0,108.0,104.0,0.789,7.76,2.42,7.86,0.55,2.34,0.193,0.45,0.126,0.305,0.425,,,,,,,,,,93.0,102.0,97.0,116.0,98.0,108.0,0.324,,0.414,,,,0.67,0.54,,,,,93.5,83.2,,0.27,0.325,0.142,,,,,,,,,,,,,0.015,-0.95,87.1,0.23,0.357,0.302,,,,,,,95.0,93.0,93.0,0.2,0.4,0.235,116.0,103.0,109.0,0.248,1.74,88.4,0.195,0.265,0.208
2024/09/03,7:10 PM.,BOS,NYM,home,Clear.,71,676710,3B,3,0,0,0,0,0,0,0,0,0,2,.310,.360,.435,.795,676710,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.36,3.86,183.2,105.0,108.0,107.0,0.766,8.58,2.5,7.6,1.67,0.67,0.244,0.424,0.164,0.288,0.446,,,,,,,109.0,109.0,112.0,,,,100.0,99.0,102.0,,0.337,0.185,,,-0.43,,-0.56,,,92.6,,,80.8,,,,,0.143,0.171,0.219,0.255,0.5,0.198,,,,,,,0.32,0.55,87.5,0.222,0.437,0.263,98.0,97.0,99.0,0.072,1.14,77.3,114.0,104.0,104.0,0.216,0.418,0.265,87.0,102.0,106.0,0.086,0.47,82.4,0.192,0.26,0.404
2024/09/02,7:10 PM.,BOS,NYM,home,Clear.,75,678394,3B,4,1,1,0,0,0,0,0,0,1,3,.315,.365,.442,.807,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.49,4.56,162.1,99.0,101.0,102.0,0.753,8.48,3.55,8.7,1.05,1.86,0.219,0.384,0.152,0.312,0.405,88.0,99.0,97.0,,,,74.0,108.0,101.0,103.0,100.0,101.0,114.0,98.0,110.0,0.403,0.048,0.28,,0.269,0.25,-0.24,-0.58,,0.15,95.6,87.6,95.7,86.8,,0.309,0.44,0.111,,,,0.12,0.16,0.218,0.177,0.354,0.369,0.268,0.401,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/01,1:10 PM.,CWS,NYM,away,Sunny.,73,676979,2B,4,0,1,0,0,0,0,0,0,1,0,.316,.368,.446,.814,676979,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.58,2.85,146.0,103.0,102.0,103.0,0.694,12.88,2.03,7.58,1.11,1.25,0.259,0.394,0.175,0.33,0.458,66.0,101.0,102.0,,,,104.0,103.0,103.0,123.0,98.0,97.0,138.0,102.0,107.0,0.021,0.537,0.098,,0.059,1.66,4.04,-2.29,,-0.36,97.2,91.0,97.9,84.3,,0.154,0.154,0.321,,,,0.198,0.295,0.314,0.184,0.289,0.339,,,,0.284,-0.14,91.6,0.228,0.561,0.422,,,,,,,94.0,105.0,103.0,0.268,0.458,0.334,,,,,,,,,
2024/08/29,12:40 PM.,AZ,NYM,away,Roof Closed.,78,669194,3B,4,0,1,0,0,0,1,1,0,0,1,.318,.370,.451,.821,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.24,4.17,150.2,106.0,100.0,104.0,0.838,7.53,2.03,9.26,1.02,1.14,0.274,0.39,0.14,0.338,0.463,108.0,99.0,107.0,91.0,94.0,94.0,105.0,107.0,106.0,,,,111.0,112.0,110.0,,0.557,0.103,0.057,0.099,0.64,,-0.66,1.81,-2.35,95.2,83.0,,83.8,77.8,,,,0.138,0.207,0.148,0.249,0.418,0.195,0.302,0.587,0.203,0.226,0.34,0.156,0.184,-0.85,91.2,0.4,0.733,0.167,,,,,,,78.0,107.0,96.0,0.317,0.508,0.154,,,,,,,,,
2024/08/28,6:40 PM.,AZ,NYM,away,Roof Closed.,74,593958,2B,3,0,0,0,0,0,0,0,0,0,1,.320,.373,.456,.829,593958,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,ARI,5.04,5.53,50.0,104.0,76.0,96.0,0.808,8.46,3.42,10.08,1.44,0.98,0.204,0.439,0.14,0.338,0.405,97.0,103.0,101.0,,,,60.0,101.0,90.0,84.0,111.0,99.0,105.0,109.0,105.0,0.076,0.44,0.066,,0.225,-0.04,-3.84,-0.19,,-0.27,92.0,86.7,91.6,83.9,,0.318,0.455,0.182,,,,0.257,0.486,0.268,0.269,0.385,0.256,0.167,0.417,0.095,0.193,-1.76,88.8,,,,,,,,,,77.0,105.0,97.0,0.333,0.595,0.133,,,,,,,,,
2024/08/25,1:11 PM.,SD,NYM,away,Sunny.,79,527048,2B,3,0,0,0,0,0,0,1,1,2,1,.325,.379,.464,.843,527048,martinperez,"Pérez, M",Left,Martín Pérez,- - -,4.53,5.38,135.0,102.0,73.0,95.0,0.81,7.13,3.27,10.07,1.47,1.24,0.182,0.462,0.145,0.31,0.408,71.0,109.0,99.0,74.0,102.0,98.0,56.0,92.0,86.0,78.0,101.0,93.0,70.0,111.0,119.0,0.358,0.053,0.0,0.141,0.227,-8.23,0.57,-51.06,0.62,-1.27,91.3,83.4,90.7,82.8,77.9,0.275,0.383,0.097,0.246,0.354,0.29,0.458,0.917,0.043,0.28,0.448,0.341,,,,0.221,-0.61,87.9,,,,,,,,,,70.0,101.0,93.0,0.28,0.57,0.212,,,,,,,,,
2024/08/23,6:40 PM.,SD,NYM,away,Clear.,72,605397,2B,3,0,0,0,0,0,0,0,0,1,1,.331,.382,.472,.854,605397,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,3.88,4.34,99.2,102.0,124.0,102.0,0.736,9.12,2.08,8.49,1.26,1.08,0.207,0.435,0.112,0.341,0.449,110.0,101.0,107.0,168.0,98.0,103.0,95.0,100.0,95.0,69.0,111.0,96.0,145.0,98.0,106.0,0.044,0.246,0.203,0.225,0.078,-0.74,0.44,1.05,-0.1,-3.1,93.0,87.1,92.6,82.2,81.6,0.348,0.435,0.146,0.203,0.319,0.328,0.253,0.494,0.231,0.353,0.618,0.379,,,,0.204,1.35,89.7,0.169,0.351,0.338,,,,,,,110.0,108.0,104.0,0.298,0.405,0.25,,,,,,,,,
2024/08/22,6:40 PM.,SD,NYM,away,Clear.,74,656302,3B,5,1,2,1,0,0,1,0,0,1,1,.338,.389,.481,.870,656302,dylancease,Cease,Right,Dylan Cease,SDP,3.47,3.31,189.1,100.0,121.0,107.0,0.693,10.65,3.09,6.51,0.86,0.94,0.203,0.433,0.147,0.307,0.389,54.0,72.0,68.0,,,,123.0,95.0,102.0,,,,112.0,100.0,105.0,,0.435,0.471,,0.009,0.22,,1.98,,-4.13,96.9,69.7,,87.2,,,,,0.28,0.44,0.286,0.235,0.39,0.203,0.25,1.0,0.2,0.159,0.257,0.447,0.006,-5.11,91.8,0.2,0.267,0.385,105.0,95.0,102.0,0.079,-0.95,82.3,113.0,89.0,90.0,0.25,1.0,0.0,,,,,,,,,
2024/08/21,1:10 PM.,BAL,NYM,home,Sunny.,71,608344,2B,3,0,1,0,0,0,0,0,0,0,2,.335,.388,.477,.865,608344,coleirvin,"Irvin, C",Left,Cole Irvin,- - -,5.11,5.78,111.0,101.0,79.0,94.0,0.849,6.32,2.35,10.7,1.46,0.96,0.251,0.414,0.121,0.34,0.478,65.0,108.0,100.0,102.0,98.0,102.0,62.0,99.0,85.0,75.0,101.0,89.0,85.0,121.0,119.0,0.2,0.264,0.041,0.252,0.134,-1.16,-0.49,-3.18,-0.38,-1.52,91.9,84.9,91.5,78.1,77.3,0.307,0.485,0.088,0.283,0.424,0.189,0.296,0.592,0.163,0.282,0.474,0.243,0.25,0.438,0.196,0.109,-0.64,85.9,,,,,,,,,,86.0,102.0,91.0,0.327,0.551,0.181,,,,,,,,,
2024/08/19,7:20 PM.,BAL,NYM,home,Cloudy.,76,669432,2B,3,0,0,0,0,0,0,0,0,2,2,.336,.386,.480,.866,669432,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,- - -,4.92,5.18,124.1,100.0,83.0,98.0,0.811,7.02,4.05,10.13,1.01,1.38,0.215,0.422,0.131,0.358,0.392,111.0,108.0,115.0,,,,66.0,101.0,93.0,86.0,97.0,92.0,74.0,93.0,91.0,0.24,0.317,0.206,,0.238,-0.26,-0.36,-1.99,,-1.32,91.9,85.6,91.5,82.4,,0.292,0.492,0.1,,,,0.252,0.467,0.234,0.295,0.396,0.238,0.312,0.506,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/18,12:06 PM.,MIA,NYM,home,Cloudy.,76,678368,2B,2,0,2,0,0,0,0,0,2,0,0,.342,.393,.490,.883,678368,valentebellozo,Bellozo,Right,Valente Bellozo,MIA,3.67,5.14,68.2,99.0,73.0,91.0,0.818,5.77,2.75,9.04,1.97,0.58,0.281,0.404,0.184,0.368,0.427,99.0,95.0,96.0,93.0,94.0,94.0,54.0,102.0,84.0,,,,100.0,105.0,104.0,,0.374,0.103,0.125,0.144,-0.41,,0.03,-3.5,-3.12,89.2,81.1,,77.7,73.7,,,,0.333,0.741,0.283,0.247,0.454,0.133,0.326,0.488,0.296,,,,0.253,1.23,82.8,0.233,0.433,0.286,,,,,,,67.0,98.0,91.0,0.205,0.438,0.163,,,,,,,,,
2024/08/15,1:11 PM.,OAK,NYM,home,Sunny.,85,687765,2B,4,0,2,0,0,0,0,0,1,0,3,.333,.377,.483,.860,687765,mitchspence,Spence,Right,Mitch Spence,OAK,4.58,4.14,151.1,103.0,100.0,101.0,0.792,7.49,2.62,9.81,1.19,1.4,0.179,0.472,0.137,0.309,0.406,74.0,86.0,83.0,118.0,117.0,117.0,,,,40.0,97.0,84.0,121.0,105.0,109.0,0.146,,0.326,0.121,0.011,,-1.41,0.01,-0.82,-7.88,,88.4,91.9,84.3,80.4,0.338,0.403,0.16,0.196,0.351,0.31,,,,0.571,0.857,0.0,0.278,0.493,0.276,0.396,-0.41,90.7,,,,,,,,,,99.0,100.0,96.0,0.278,0.472,0.176,,,,,,,,,
2024/08/13,7:11 PM.,OAK,NYM,home,Clear.,79,671212,3B,4,0,2,0,0,0,1,0,0,0,3,.329,.370,.483,.853,671212,joeboyle,Boyle,Right,Joe Boyle,OAK,6.42,4.34,47.2,89.0,122.0,93.0,0.727,10.57,7.55,7.93,0.76,0.96,0.27,0.278,0.167,0.254,0.395,,,,110.0,75.0,87.0,108.0,85.0,86.0,,,,140.0,103.0,117.0,,0.59,0.373,0.037,,-0.77,,0.1,0.56,,97.7,,,87.7,80.4,,,,,,,0.27,0.39,0.253,,,,0.164,0.224,0.379,,,,0.4,0.8,0.25,,,,,,,,,,,,,,,,,,,,,
2024/08/11,4:11 PM.,SEA,NYM,away,Partly Cloudy.,69,622491,3B,4,0,0,0,0,0,0,0,0,1,2,.324,.367,.482,.849,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.64,3.91,175.1,105.0,101.0,102.0,0.768,8.98,2.41,8.11,1.28,0.94,0.26,0.409,0.159,0.319,0.406,89.0,104.0,97.0,,,,120.0,105.0,103.0,100.0,102.0,98.0,72.0,106.0,108.0,0.179,0.454,0.224,,0.143,0.97,-0.41,0.65,,-1.63,95.6,88.1,95.6,85.7,,0.298,0.457,0.105,,,,0.203,0.365,0.273,0.287,0.545,0.265,0.207,0.357,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/08,1:10 PM.,COL,NYM,away,Cloudy.,67,596295,2B,3,1,1,1,0,0,2,0,1,0,1,.333,.377,.496,.873,596295,austingomber,Gomber,Left,Austin Gomber,COL,4.75,5.07,165.0,102.0,82.0,98.0,0.821,6.33,2.07,9.71,1.64,0.92,0.213,0.423,0.122,0.394,0.446,82.0,103.0,99.0,,,,71.0,98.0,91.0,51.0,110.0,96.0,91.0,103.0,102.0,0.001,0.404,0.167,,0.205,-1.23,-42.96,-0.17,,-0.15,90.4,81.1,90.1,83.8,,,,,0.22,0.368,0.269,0.305,0.6,0.096,0.28,0.409,0.273,0.274,0.513,0.22,,,,,,,93.0,109.0,107.0,0.224,-0.08,77.6,,,,,,,,,,,,,,,
2024/08/07,6:41 PM.,COL,NYM,away,Partly Cloudy.,73,663372,3B,4,1,1,0,0,0,0,0,0,0,1,.333,.376,.492,.868,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.31,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,117.0,95.0,102.0,108.0,107.0,113.0,81.0,102.0,96.0,93.0,93.0,89.0,109.0,99.0,104.0,0.128,0.37,0.254,0.101,0.147,0.63,-0.45,-0.87,1.28,-1.02,94.6,85.2,94.2,87.4,79.2,0.299,0.403,0.159,0.164,0.26,0.248,0.24,0.376,0.177,0.299,0.485,0.394,0.355,0.523,0.226,,,,0.156,0.375,0.35,,,,,,,,,,,,,,,,,,,,,
2024/08/06,6:41 PM.,COL,NYM,away,Partly Cloudy.,87,607536,2B,4,1,2,0,0,0,0,0,0,2,0,.336,.380,.500,.880,607536,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.24,5.11,113.1,103.0,81.0,99.0,0.841,6.75,2.06,10.64,1.75,1.01,0.225,0.421,0.156,0.347,0.435,61.0,100.0,89.0,,,,69.0,104.0,95.0,83.0,106.0,99.0,65.0,103.0,101.0,0.245,0.202,0.227,,0.137,-1.51,-1.33,-1.11,,-1.64,91.6,86.1,91.4,86.9,,0.31,0.556,0.074,0.194,0.276,0.42,0.322,0.522,0.067,0.333,0.647,0.161,0.316,0.589,0.162,,,,,,,128.0,102.0,107.0,0.188,0.07,83.5,,,,,,,,,,,,,,,
2024/08/05,4:17 PM.,STL,NYM,away,Partly Cloudy.,94,669467,3B,4,0,1,0,0,0,0,0,0,2,0,.331,.376,.500,.876,669467,andrepallante,Pallante,Right,Andre Pallante,STL,3.78,3.46,121.1,96.0,91.0,97.0,0.82,6.97,3.56,8.16,0.59,2.71,0.23,0.416,0.184,0.266,0.434,,,,,,,87.0,91.0,92.0,85.0,98.0,89.0,111.0,105.0,110.0,0.19,0.512,0.172,,,1.34,-0.25,-0.64,,,94.5,,94.8,87.5,,0.265,0.373,0.132,0.157,0.257,0.345,0.23,0.297,0.162,,,,0.294,0.435,0.282,,,,,,,88.0,102.0,109.0,0.126,0.42,79.5,,,,,,,,,,,,,,,
2024/08/03,6:38 PM.,LAA,NYM,away,Clear.,88,667755,3B,0,0,0,0,0,0,0,0,0,0,0,.333,.380,.508,.888,667755,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.42,4.14,113.0,95.0,100.0,99.0,0.779,7.73,3.58,7.25,0.64,2.69,0.212,0.399,0.171,0.294,0.404,,,,,,,96.0,92.0,86.0,95.0,95.0,96.0,117.0,92.0,99.0,0.464,0.146,0.055,,,-2.05,2.22,0.02,,,98.8,,97.7,91.5,,0.214,0.26,0.167,0.226,0.376,0.402,0.356,0.622,0.103,,,,0.143,0.214,0.463,,,,,,,98.0,96.0,108.0,0.254,-0.42,86.4,,,,,,,120.0,100.0,112.0,0.081,0.8,92.7,0.15,0.3,0.329
2024/08/02,6:38 PM.,LAA,NYM,away,Partly Cloudy.,84,542881,3B,5,1,1,1,0,0,0,0,0,1,4,.333,.380,.508,.888,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.81,4.37,179.1,99.0,96.0,99.0,0.741,7.13,3.66,7.93,1.2,0.88,0.193,0.51,0.157,0.267,0.396,105.0,100.0,105.0,,,,89.0,99.0,96.0,66.0,95.0,83.0,80.0,141.0,142.0,0.033,0.396,0.013,0.001,0.371,-0.73,-3.87,-0.06,-3.14,1.32,89.4,78.9,88.1,81.3,71.6,0.261,0.696,0.152,,,,0.272,0.494,0.183,0.185,0.259,0.396,0.0,0.0,0.357,0.185,-0.41,84.3,,,,,,,,,,99.0,100.0,96.0,0.264,0.455,0.247,,,,,,,,,
2024/07/31,1:10 PM.,MIN,NYM,home,Partly Cloudy.,83,641154,2B,4,0,1,1,0,0,0,0,0,1,1,.339,.387,.513,.900,641154,pablolopez,"López, P",Right,Pablo López,MIN,4.08,3.67,185.1,104.0,98.0,105.0,0.749,9.62,1.99,8.74,1.26,1.19,0.245,0.438,0.134,0.298,0.432,95.0,104.0,105.0,92.0,103.0,108.0,97.0,105.0,101.0,97.0,107.0,107.0,106.0,103.0,110.0,0.073,0.407,0.219,0.1,0.201,1.65,-2.77,-0.84,-1.28,-0.14,95.0,88.5,94.5,84.5,82.4,0.426,0.639,0.142,0.23,0.446,0.341,0.208,0.352,0.259,0.281,0.359,0.249,,,,,,,0.239,0.436,0.331,,,,,,,,,,,,,,,,,,,,,
2024/07/30,7:10 PM.,MIN,NYM,home,Clear.,80,701581,3B,0,0,0,0,0,0,0,0,0,0,0,.342,.392,.514,.906,701581,davidfesta,"Festa, D",Right,David Festa,MIN,4.9,4.14,64.1,101.0,100.0,103.0,0.735,10.77,3.22,8.67,1.26,0.9,0.229,0.451,0.166,0.331,0.405,72.0,105.0,105.0,,,,107.0,96.0,99.0,,,,118.0,103.0,105.0,,0.402,0.318,,0.28,-0.79,,1.48,,-1.14,94.7,88.4,,86.1,,,,,,,,0.304,0.544,0.194,0.237,0.463,0.394,0.207,0.315,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/28,1:41 PM.,ATL,NYM,home,Sunny.,86,625643,SS,4,0,0,0,0,0,0,0,0,0,4,.342,.392,.514,.906,625643,reynaldolopez,"López, R",Right,Reynaldo López,ATL,1.99,3.94,135.2,102.0,96.0,101.0,0.75,9.82,2.79,7.16,0.66,1.03,0.279,0.365,0.142,0.305,0.439,75.0,110.0,105.0,84.0,99.0,104.0,91.0,103.0,99.0,,,,113.0,100.0,105.0,,0.552,0.294,0.116,0.038,1.19,,1.45,1.61,-3.58,95.5,86.1,,85.0,77.0,,,,0.151,0.264,0.364,0.266,0.369,0.165,0.263,0.737,0.349,0.168,0.257,0.443,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/27,4:13 PM.,ATL,NYM,home,Partly Cloudy.,85,680885,2B,3,0,0,0,0,0,0,0,0,1,1,.355,.405,.533,.938,680885,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.35,3.44,123.2,107.0,101.0,108.0,0.744,9.24,1.67,7.71,1.02,1.14,0.247,0.413,0.183,0.299,0.462,,,,101.0,104.0,108.0,110.0,108.0,108.0,93.0,102.0,101.0,110.0,113.0,119.0,0.068,0.291,0.199,0.146,,0.27,-0.12,0.61,0.29,,96.1,,95.1,87.3,80.6,0.231,0.385,0.078,0.236,0.436,0.409,0.24,0.448,0.205,,,,0.225,0.333,0.279,0.168,0.53,92.9,,,,,,,,,,94.0,104.0,100.0,0.27,0.5,0.199,84.0,107.0,109.0,0.128,1.96,84.5,0.147,0.235,0.463
2024/07/26,7:10 PM.,ATL,NYM,home,Cloudy.,83,450203,2B,3,0,1,0,0,0,0,0,0,0,3,.365,.416,.548,.964,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.19,4.49,165.1,98.0,95.0,97.0,0.753,9.09,3.54,8.38,1.25,1.42,0.235,0.437,0.144,0.327,0.408,86.0,97.0,93.0,122.0,98.0,108.0,72.0,99.0,90.0,79.0,96.0,88.0,,,,0.099,0.289,,0.424,0.11,-1.4,0.39,,0.78,-1.38,94.1,85.0,93.5,,81.5,0.333,0.433,0.07,0.2,0.309,0.342,0.281,0.517,0.193,0.292,0.6,0.333,,,,0.078,-0.75,88.5,,,,,,,,,,73.0,92.0,86.0,0.286,0.571,0.149,,,,,,,,,
2024/07/25,7:10 PM.,ATL,NYM,home,Cloudy.,83,519242,2B,4,1,0,0,0,0,0,0,0,2,0,.366,.413,.554,.967,519242,chrissale,Sale,Left,Chris Sale,ATL,2.38,2.8,177.2,103.0,96.0,102.0,0.711,11.4,1.98,7.14,0.46,1.34,0.247,0.435,0.167,0.249,0.435,64.0,107.0,98.0,,,,96.0,105.0,101.0,113.0,100.0,96.0,105.0,100.0,104.0,0.072,0.378,0.403,,0.147,-0.12,-1.99,2.16,,2.97,94.8,87.1,94.2,78.6,,0.327,0.551,0.133,,,,0.281,0.443,0.241,0.159,0.195,0.236,0.171,0.236,0.427,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/24,7:08 PM.,NYY,NYM,away,Partly Cloudy.,76,543037,2B,4,1,1,0,0,0,0,0,1,0,1,.381,.429,.577,1.006,543037,gerritcole,Cole,Right,Gerrit Cole,NYY,3.41,3.64,95.0,101.0,111.0,105.0,0.777,9.38,2.75,7.39,1.04,0.88,0.289,0.371,0.18,0.332,0.435,73.0,94.0,90.0,,,,116.0,100.0,104.0,,,,128.0,106.0,112.0,0.002,0.462,0.146,,0.04,0.7,17.25,1.25,,-3.6,95.9,88.2,93.7,88.2,,0.0,0.0,0.143,0.209,0.239,0.301,0.189,0.365,0.234,0.333,0.667,0.28,0.222,0.27,0.264,0.163,-0.7,91.4,,,,102.0,99.0,106.0,0.187,2.35,82.5,99.0,102.0,102.0,0.32,0.56,0.22,,,,,,,,,
2024/07/23,7:09 PM.,NYY,NYM,away,Cloudy.,76,661563,3B,0,0,0,0,0,0,0,0,0,0,0,.387,.430,.591,1.021,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,,,,128.0,96.0,102.0,,,,108.0,94.0,105.0,,0.488,0.259,,0.253,0.06,,1.37,,0.37,96.6,91.6,,87.5,,,,,,,,0.205,0.395,0.285,0.179,0.282,0.269,0.171,0.312,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/22,6:41 PM.,MIA,NYM,away,Roof Closed.,72,630023,3B,3,1,1,0,1,0,1,0,0,1,1,.387,.430,.591,1.021,630023,yonnychirinos,"Chirinos, Y",Right,Yonny Chirinos,MIA,6.3,4.71,30.0,97.0,115.0,98.0,0.801,7.5,3.9,12.9,2.1,0.77,0.272,0.379,0.214,0.301,0.443,,,,,,,69.0,97.0,84.0,100.0,97.0,97.0,154.0,97.0,106.0,0.297,0.165,0.39,,,-6.18,-6.8,0.86,,,93.0,,92.7,85.2,,0.522,0.826,0.127,,,,0.333,0.833,0.289,,,,0.2,0.286,0.244,,,,,,,,,,,,,,,,,,,98.0,99.0,92.0,0.148,0.1,85.7,0.182,0.318,0.205
2024/07/21,1:40 PM.,MIA,NYM,away,Roof Closed.,72,669432,2B,4,0,2,0,0,0,0,0,0,0,2,.389,.427,.578,1.005,669432,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,- - -,4.92,5.18,124.1,100.0,83.0,98.0,0.811,7.02,4.05,10.13,1.01,1.38,0.215,0.422,0.131,0.358,0.392,111.0,108.0,115.0,,,,66.0,101.0,93.0,86.0,97.0,92.0,74.0,93.0,91.0,0.24,0.317,0.206,,0.238,-0.26,-0.36,-1.99,,-1.32,91.9,85.6,91.5,82.4,,0.292,0.492,0.1,,,,0.252,0.467,0.234,0.295,0.396,0.238,0.312,0.506,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/20,4:11 PM.,MIA,NYM,away,Roof Closed.,72,682610,3B,4,0,2,0,0,0,0,1,0,1,0,.384,.424,.581,1.005,682610,rodderymunoz,"Muñoz, Rod",Right,Roddery Muñoz,MIA,6.53,6.83,82.2,96.0,92.0,93.0,0.788,7.62,4.57,9.69,2.83,0.75,0.233,0.397,0.134,0.397,0.4,57.0,96.0,89.0,,,,96.0,97.0,94.0,93.0,94.0,91.0,103.0,94.0,100.0,0.228,0.269,0.198,,0.093,-3.28,-0.99,-2.57,,-2.82,95.4,89.3,94.9,85.7,,0.27,0.554,0.109,,,,0.325,0.714,0.175,0.27,0.595,0.306,0.261,0.536,0.328,0.212,-0.08,89.8,,,,,,,,,,89.0,96.0,90.0,0.229,0.471,0.313,,,,,,,,,
2024/07/19,7:10 PM.,MIA,NYM,away,Roof Closed.,72,665795,2B,3,1,1,1,0,0,0,0,1,0,1,.378,.420,.585,1.005,665795,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.95,4.78,96.1,97.0,101.0,99.0,0.738,10.0,4.67,7.66,1.4,1.45,0.199,0.465,0.137,0.348,0.393,96.0,98.0,103.0,106.0,101.0,104.0,97.0,91.0,87.0,110.0,94.0,95.0,114.0,102.0,105.0,0.091,0.274,0.085,0.217,0.332,-1.63,0.07,1.65,-0.03,0.15,96.3,93.0,96.7,89.2,84.8,0.231,0.333,0.151,0.206,0.426,0.394,0.304,0.543,0.164,0.206,0.321,0.338,0.129,0.226,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/14,1:42 PM.,COL,NYM,home,Sunny.,92,608566,3B,4,2,4,0,0,0,0,0,1,0,0,.380,.417,.582,.999,608566,germanmarquez,Márquez,Right,Germán Márquez,COL,6.75,6.66,4.0,94.0,98.0,94.0,0.719,6.75,9.0,11.25,2.25,1.2,0.154,0.462,0.154,0.231,0.443,37.0,47.0,53.0,,,,92.0,87.0,86.0,70.0,106.0,100.0,99.0,98.0,96.0,0.1,0.414,0.271,,0.029,-2.02,-28.18,2.0,,-4.17,96.1,89.1,94.3,89.3,,0.75,1.5,0.0,0.0,0.0,0.714,0.4,0.4,0.091,,,,0.0,0.0,0.333,,,,,,,135.0,101.0,108.0,0.186,4.38,86.7,,,,,,,,,,,,,,,
