date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,vKC,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024/05/15,1:10 PM.,DET,MIA,away,Cloudy.,70,663554,LF,2,0,0,0,0,0,0,0,0,1,2,.273,.385,.364,.749,663554,caseymize,Mize,Right,Casey Mize,DET,4.49,4.74,102.1,102.0,107.0,101.0,0.803,6.86,2.55,10.64,0.97,1.65,0.227,0.405,0.149,0.335,0.435,,,,,,,106.0,105.0,102.0,92.0,108.0,105.0,107.0,101.0,102.0,,,,0.08,0.386,,0.277,,0.075,,-0.47,,1.3,-0.46,,-2.21,,95.5,,,95.5,85.7,,79.6,0.293,0.341,0.08,0.271,0.5,0.218,,,,0.306,0.428,0.205,,,,0.261,0.522,0.216,,,,,,,102.0,90.0,94.0,112.0,99.0,102.0,0.181,-1.06,86.2,0.286,0.405,0.322
2024/05/12,1:41 PM.,PHI,MIA,home,Roof Closed.,72,554430,LF,1,0,0,0,0,0,0,0,0,1,0,.300,.417,.400,.817,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.57,2.8,200.0,104.0,106.0,108.0,0.747,10.08,2.34,6.26,0.9,1.09,0.245,0.35,0.209,0.29,0.42,,,,110.0,101.0,107.0,101.0,106.0,109.0,111.0,103.0,107.0,128.0,106.0,115.0,92.0,97.0,94.0,0.192,0.416,0.093,0.125,0.1,,,0.88,-0.23,2.68,1.04,-0.98,,,95.3,91.1,,94.6,84.9,81.8,,0.189,0.259,0.142,,,,0.226,0.371,0.183,0.209,0.395,0.296,,,,0.205,0.397,0.387,0.152,0.273,0.335,,,,,,,94.0,110.0,110.0,0.074,1.47,86.1,0.137,0.196,0.402
2024/05/10,7:10 PM.,PHI,MIA,home,Roof Closed.,72,624133,RF,3,1,0,0,0,0,0,0,1,2,0,.316,.435,.421,.856,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.67,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.154,0.283,0.395,73.0,100.0,98.0,84.0,107.0,108.0,68.0,101.0,91.0,87.0,106.0,104.0,22.0,85.0,77.0,101.0,98.0,93.0,0.315,0.195,0.121,0.001,0.205,,0.163,0.67,-1.68,0.84,-4.62,1.02,,-0.63,91.8,86.5,80.0,90.8,81.3,74.4,,0.27,0.381,0.101,,,,0.302,0.642,0.162,0.224,0.327,0.18,0.229,0.323,0.35,0.189,0.342,0.339,,,,,,,,,,,,,,,,,,
2024/05/06,7:10 PM.,LAD,MIA,away,Clear.,65,621111,PH,1,0,0,0,0,0,0,0,0,1,0,.375,.474,.500,.974,621111,walkerbuehler,Buehler,Right,Walker Buehler,LAD,5.38,4.78,75.1,101.0,93.0,100.0,0.819,7.65,3.35,10.63,1.91,1.29,0.208,0.429,0.143,0.335,0.435,70.0,100.0,89.0,,,,85.0,102.0,99.0,82.0,99.0,92.0,119.0,99.0,108.0,103.0,103.0,100.0,0.163,0.29,0.208,0.095,,0.192,0.052,-2.43,1.62,-0.74,-0.87,,-1.56,-5.9,95.0,91.2,90.0,94.8,82.9,,78.0,0.291,0.327,0.115,1.0,2.5,0.25,0.238,0.397,0.215,0.342,0.696,0.169,0.455,0.773,0.088,0.278,0.481,0.267,0.121,0.303,0.294,,,,100.0,98.0,105.0,,,,,,,,,
2024/05/04,4:30 PM.,OAK,MIA,away,Cloudy.,56,621112,CF,1,1,0,0,0,0,0,0,1,1,0,.400,.500,.533,1.033,621112,paulblackburn,Blackburn,Right,Paul Blackburn,- - -,4.66,4.59,75.1,105.0,91.0,100.0,0.79,7.05,2.51,9.08,1.43,1.34,0.193,0.442,0.172,0.24,0.396,83.0,110.0,106.0,91.0,107.0,106.0,74.0,96.0,90.0,69.0,107.0,93.0,116.0,106.0,108.0,105.0,106.0,99.0,0.136,0.195,0.22,0.167,0.101,,0.181,-2.3,-0.19,-4.04,1.35,2.06,,1.56,91.9,89.1,85.7,91.2,81.3,79.4,,0.478,0.674,0.095,0.163,0.245,0.284,0.299,0.493,0.244,0.286,0.694,0.125,0.164,0.236,0.347,0.125,0.208,0.25,,,,,,,,,,,,,,,,,,
2024/05/03,6:40 PM.,OAK,MIA,away,Clear.,61,676664,LF,3,0,1,0,0,0,0,0,1,2,0,.429,.500,.571,1.071,676664,jpsears,Sears,Left,JP Sears,OAK,4.38,4.43,180.2,99.0,90.0,94.0,0.8,6.82,2.44,8.57,1.39,0.79,0.244,0.413,0.171,0.325,0.443,84.0,94.0,83.0,,,,70.0,102.0,92.0,84.0,100.0,87.0,118.0,100.0,105.0,,,,0.106,0.363,,0.339,,,0.192,-0.8,,1.37,-0.1,,,-0.21,91.9,,84.0,90.0,78.9,,,0.276,0.395,0.104,0.23,0.525,0.259,,,,0.23,0.476,0.256,0.297,0.428,0.188,,,,0.239,0.381,0.213,,,,,,,,,,,,,,,
2024/05/02,12:10 PM.,COL,MIA,home,Roof Closed.,72,663567,LF,3,1,1,0,0,0,0,1,1,1,0,.455,.500,.636,1.136,663567,peterlambert,"Lambert, P",Right,Peter Lambert,COL,5.72,4.46,61.1,95.0,96.0,95.0,0.805,7.34,4.26,10.71,1.03,1.09,0.288,0.439,0.146,0.308,0.416,90.0,93.0,94.0,89.0,99.0,95.0,88.0,93.0,91.0,87.0,97.0,93.0,118.0,96.0,103.0,,,,0.023,0.385,0.01,0.188,0.144,,0.25,-0.84,-4.56,-0.8,-0.87,-3.8,,-0.05,94.5,90.0,87.0,93.9,86.9,80.4,,0.25,0.25,0.0,0.34,0.472,0.19,,,,0.315,0.528,0.117,0.23,0.328,0.376,0.375,1.0,0.222,,,,0.308,0.462,0.27,,,,,,,,,,,,
2024/05/01,6:41 PM.,COL,MIA,home,Roof Closed.,72,641712,PH,1,0,1,0,0,0,2,0,0,0,0,.500,.500,.750,1.250,641712,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,6.17,6.01,89.0,95.0,84.0,91.0,0.832,4.96,5.06,10.01,1.11,1.77,0.213,0.423,0.147,0.367,0.416,84.0,94.0,93.0,103.0,97.0,100.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,,,,0.327,0.153,0.005,0.244,0.172,,0.1,-2.2,-18.69,-0.07,-0.31,0.48,,-4.94,89.9,86.9,83.5,90.4,84.1,80.3,,0.306,0.448,0.076,0.289,0.361,0.318,,,,0.302,0.509,0.079,0.379,0.69,0.146,0.13,0.217,0.33,,,,,,,,,,,,,,,,,,
2024/04/30,6:40 PM.,COL,MIA,home,Roof Closed.,72,663372,CF,2,1,2,0,0,0,3,0,0,0,0,.429,.429,.714,1.143,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.31,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,117.0,95.0,102.0,108.0,107.0,113.0,81.0,102.0,96.0,93.0,93.0,89.0,109.0,99.0,104.0,,,,0.128,0.37,,0.254,0.101,,0.147,0.63,,-0.45,-0.87,1.28,,-1.02,94.6,,85.2,94.2,87.4,79.2,,0.299,0.403,0.159,0.355,0.523,0.226,,,,0.24,0.376,0.177,0.299,0.485,0.394,0.164,0.26,0.248,0.156,0.375,0.35,,,,,,,,,,,,,,,
2024/04/29,6:41 PM.,WSH,MIA,home,Partly Cloudy.,80,663623,RF,2,0,0,0,0,0,0,0,0,0,0,.200,.200,.600,.800,663623,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.41,4.31,187.2,103.0,94.0,101.0,0.803,7.48,2.49,8.3,1.39,1.2,0.241,0.424,0.181,0.334,0.462,99.0,91.0,93.0,110.0,104.0,106.0,82.0,104.0,97.0,97.0,102.0,102.0,110.0,115.0,117.0,78.0,102.0,93.0,0.205,0.379,0.065,0.003,0.313,,0.035,0.44,0.06,-0.64,-14.34,0.24,,1.34,93.9,89.9,88.4,93.3,85.9,81.1,,0.325,0.497,0.149,,,,0.283,0.522,0.204,0.204,0.381,0.235,0.125,0.125,0.349,0.226,0.42,0.251,,,,,,,,,,,,,,,,,,
2024/04/28,1:41 PM.,WSH,MIA,home,Roof Closed.,72,571578,RF,3,1,1,0,1,0,0,0,0,1,2,.333,.333,1.000,1.333,571578,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.62,5.53,174.2,101.0,76.0,94.0,0.788,7.16,2.78,10.72,1.29,1.42,0.218,0.384,0.141,0.333,0.396,87.0,96.0,96.0,73.0,100.0,97.0,55.0,97.0,84.0,71.0,103.0,92.0,88.0,97.0,97.0,76.0,107.0,98.0,0.338,0.076,0.192,0.343,0.016,0.001,0.034,-1.46,-0.37,-1.9,0.41,-2.3,4.71,-5.53,91.3,85.7,81.0,91.5,80.0,70.0,63.2,0.339,0.567,0.091,0.216,0.335,0.354,0.301,0.434,0.223,0.311,0.578,0.133,0.409,0.773,0.279,0.5,1.25,0.526,,,,,,,,,,,,,,,,,,
